,HeatNo,ScrapWt,TapWeight,EAF_Yield,Oxygen_SCF,CH4,modCarbon,SAProfile,O2_SCFperTon,Ladle_Temp,HeatsOnLadle,Preheater,Crew,Grade,Tap_Temp,Recarb
137,29722,60.3925,51.9,85.9378234052,38845,15611,586,28,643.2090077410274,1982,62,South,Team 3    ,85HP      ,3065.0,669
138,29723,60.396,53.0,87.7541559043,50127,16542,777,28,829.9721835883171,2026,36,North,Team 3    ,85HP      ,2997.0,561
139,29724,54.61,52.5,96.1362387841,44483,14983,875,28,814.5577733015931,1970,56,South,Team 3    ,85HP      ,3008.0,914
140,29725,62.309,53.4,85.7019050217,49636,16378,954,35,796.6104415092523,2010,3,Middle,Team 3    ,A100BPF   ,3032.0,647
141,29726,64.037,53.5,83.5454502865,51024,17425,966,35,796.7893561534737,1990,30,North,Team 3    ,A100B     ,3034.0,399
142,29727,63.9365,51.8,81.0178849327,52349,19064,948,35,818.7654938884674,1975,63,South,Team 1    ,A100B     ,2981.0,555
143,29728,60.009,53.2,88.6533686613,47526,15864,923,35,791.9812028195771,2010,37,Middle,Team 1    ,A100B     ,3040.0,724
144,29729,60.056,53.1,88.4174770214,51205,16856,814,28,852.6208871719729,1972,56,North,Team 1    ,A100B     ,2980.0,844
145,29730,58.164,52.9,90.9497283543,47703,15562,790,28,820.1464823602228,2003,31,Middle,Team 1    ,A100B     ,3030.0,1042
146,29731,53.0545,49.5,93.3002855554,52883,14677,1226,28,996.7674749549991,1978,4,South,Team 1    ,A100      ,3049.0,755
147,29732,64.0615,51.2,79.9231988011,50224,15553,1024,34,783.9966282400507,1967,64,North,Team 2    ,A100BPF   ,3043.0,313
148,29733,66.2055,52.9,79.9027271148,55596,17938,1016,35,839.7489634546979,1988,38,Middle,Team 2    ,A100BPF   ,3088.0,246
149,29734,60.0335,52.7,87.784320421,52397,15997,971,35,872.7960222209267,1977,5,South,Team 2    ,A100BPF   ,3094.0,366
150,29735,60.0495,53.2,88.5935769656,52146,16086,923,35,868.3835835435765,1962,32,North,Team 3    ,A100BPF   ,3058.0,352
151,29736,60.0375,52.0,86.612533833,49906,15815,1064,35,831.247137205913,1976,65,Middle,Team 3    ,A100BPF   ,3013.0,564
152,29737,60.0785,53.2,88.5508126867,50981,16181,1045,35,848.5731168388025,1959,39,South,Team 3    ,A100BPF   ,3019.0,453
153,29738,60.148,53.8,89.4460331183,50332,15481,894,35,836.8025537008712,0,33,Atomize,Team 3    ,A100BPF   ,3053.0,404
154,29739,60.02,53.4,88.9703432189,50868,16420,890,35,847.5174941686104,1956,57,North,Team 3    ,A100BPF   ,3021.0,397
155,29740,60.309,54.2,89.870500257,49233,15310,927,35,816.3458190319853,1966,5,Middle,Team 3    ,A100BPF   ,2995.0,399
156,29741,60.2565,52.3,86.7956154107,51711,15838,983,35,858.1812750491648,1995,66,North,Team 3    ,A100BPF   ,3067.0,300
157,29742,60.177,53.4,88.7382222443,48925,15101,875,35,813.018262791432,2015,34,Middle,Team 3    ,A100BPF   ,3073.0,357
158,29743,60.283,53.7,89.0798400875,50125,16291,766,28,831.4947829404641,1978,40,South,Team 1    ,A100BPF   ,2994.0,302
159,29744,60.146,54.0,89.7815316064,50621,16284,965,35,841.6353539720014,1884,6,Middle,Team 1    ,A100BPF   ,3039.0,268
160,29745,60.353,53.4,88.4794459264,50899,15386,780,35,843.3549285039683,510,58,Middle,Team 1    ,A100BPF   ,3039.0,317
161,29746,58.2565,53.4,91.6635911872,52125,14806,935,35,894.7499420665505,1985,34,Middle,Team 1    ,A100BPF   ,3087.0,477
162,29747,50.2755,51.2,101.8388678382,61024,15164,616,28,1213.7920060466827,0,7,Atomize,Team 1    ,A100BPF   ,3045.0,1818
163,29748,64.43,52.4,81.3285736458,52718,15343,1190,34,818.2213254695017,1981,35,South,Team 2    ,85HP      ,3065.0,893
164,29749,62.425,52.3,83.7805366439,50271,17305,959,35,805.3023628354025,2004,8,Middle,Team 2    ,85HP      ,2974.0,306
165,29750,60.6425,52.3,86.2431463082,55569,16543,961,35,916.3375520468319,2001,59,North,Team 2    ,85HP      ,3015.0,1060
166,29751,55.617,44.6,80.1913084128,48450,14825,921,28,871.1365230055559,1999,36,Middle,Team 3    ,85HP      ,3063.0,965
167,29752,65.887,53.3,80.8960796515,60041,17695,1195,35,911.272329898159,1977,1,South,Team 3    ,A100C     ,3063.0,450
168,29753,62.311,53.9,86.5015807802,63423,17479,1226,35,1017.8459662017942,2089,9,Middle,Team 3    ,A200      ,3044.0,848
169,29754,66.256,53.2,80.2946148273,61706,17981,1146,35,931.3269741608307,1980,60,South,Team 3    ,A200      ,3042.0,601
170,29755,58.0175,54.7,94.2818977032,62381,17762,1284,28,1075.2100659283838,2009,37,South,Team 3    ,A200      ,3037.0,1598
171,29756,64.0015,53.5,83.5917908174,53047,16950,1178,35,828.8399490636939,1982,2,South,Team 3    ,A100BPF   ,3101.0,378
172,29757,66.1565,53.2,80.4153786853,54419,17480,592,35,822.5797918571872,1984,61,North,Team 1    ,A100B     ,3038.0,439
173,29758,60.1095,53.2,88.5051447774,44016,15115,619,35,732.2636188955157,1969,38,North,Team 1    ,A100B     ,3038.0,350
174,29759,59.9205,53.3,88.9511936649,49838,15355,420,35,831.7353827154313,0,3,Atomize,Team 1    ,A100B     ,2997.0,330
175,29760,59.8625,53.6,89.5385257882,47405,15663,458,35,791.8980998120694,1851,62,South,Team 1    ,A100B     ,2979.0,531
176,29761,45.3,52.9,116.7770419426,40742,12608,213,28,899.3818984547462,1196,39,Middle,Team 1    ,A100X     ,3082.0,1003
177,29762,66.2495,53.2,80.302492849,46105,12761,1077,34,695.9297806021178,1981,40,South,Team 2    ,A100BPF   ,3004.0,332
178,29763,64.0645,53.3,83.1974026176,55010,17148,997,35,858.6658757970483,2001,4,Middle,Team 2    ,A100BPF   ,3078.0,363
179,29764,60.2315,53.4,88.6579281605,49884,15715,812,28,828.204510928667,1971,64,North,Team 2    ,A100BPF   ,3051.0,405
180,29765,60.1175,53.5,88.9923899031,51249,15949,859,28,852.4805589054768,1989,41,Middle,Team 3    ,A100BPF   ,3058.0,410
181,29766,60.0155,53.9,89.8101323824,49394,15315,893,28,823.0207196474244,1676,4,Middle,Team 3    ,A100BPF   ,2993.0,295
182,29767,61.298,54.1,88.2573656563,52054,15936,1031,35,849.1957323240563,1980,1,South,Team 3    ,3CUBPF    ,2976.0,348
183,29768,61.2145,53.6,87.5609536956,55097,16485,1119,28,900.064527195354,2001,64,Middle,Team 3    ,3CUBPF    ,3066.0,694
184,29769,61.116,53.7,87.8656980168,52265,16227,995,35,855.1770403822239,1961,42,South,Team 3    ,3CUBPF    ,3027.0,400
185,29770,61.217,53.6,87.5573778525,52741,16526,993,28,861.5417286047993,2018,5,Middle,Team 3    ,3CUBPF    ,3025.0,822
186,29771,61.1355,54.0,88.328385308,51612,16468,824,28,844.223078244228,1983,2,South,Team 3    ,3CUBPF    ,3074.0,419
187,29772,61.2265,52.8,86.2371685462,58041,17619,2516,28,947.9718749234399,2020,65,Middle,Team 1    ,3CUBPF    ,,446
